"text","label"
"o prato tem que ter pouco sódio mas eles precisam colocar caldo knorr cadê a lógica??????? #MasterChefBR","0"
"Quem tá na cozinha hoje sou eu. Baixou o esprito de #MasterChefBR . Vou me superar!","1"
"Amo a Ana Maria 😂😂 ela entra muito na onda das coisas #maisvoce","2"
"Que aflição esse placar vei #MasterChefBR","0"
"Os Homens do Brasil usa o QE(em vez do QI) mais do q os homens de PAÍSES RICOS ?  #ForçaVictor #SegundaDetremuraSDV #Encontro Paulão e Breno","1"
"Um close é um close né more, adoro o Douglas #MasterChefBR","2"
"Meu Deus, meu coração não aguenta!!! #MasterChefBR","0"
"Machistas NÃO PASSARAM! #encontro","1"
"Débora é a maior jogadora que você respeita #MasterChefBR","2"
"Socorroooo! Esse vídeo das crianças falando sobre suas próprias mães 😢😢😢 #Encontro","0"
"avisa a katia q eh hj #MasterChefBR","1"
"#MasterChefBR Não sei o as pessoas veem na @user  So porque ela é linda, tem covinha quando sorri, cozinha bem, é gente boa, e etc","2"
"Paola jogou ba nossa cara que ela conhece vários países e a gente não #MasterchefBR","0"
"#VideoShowAoVivo A pronto agora vou chorar","1"
"Por favor @user hj não exiba o Profissão Reporter, quero ver o #ConversaComBial e depois vou dormir. 😘✌","2"
"a Rainha do doces,Douglas,saiu(tombou kkkkk) e achava que ele iria pelo menos pro top 5,deixaram a Miriam lá pra tretar :/  #MasterChefBR","0"
"#altashoras Alguém notou que a Anita estava dublando?","1"
"Belíssimo episódio 👏🏼 Salve a nossa culinária 🇧🇷 #MasterChefBR","2"
"Tomara que o #TimeAzul perca. #MasterChefBR","0"
"Consegui reservar cedo a TV da cozinha, esperando o #MasterChefBR começar.","1"
"Eu quero saber onde eu compro a pantufa que a Ana tá usando!! #MaisVoce","2"
"Resuminho: O crush sai, volta, mata o povo do coração, arrasa e vai pro mesanino.. #MasterChefBR","0"
"Vão ter que cozinhar sapos?? #MasterChefBr","1"
"nando é o amor da minha vida mesmo #Encontro","2"
"#MasterChefBR Aff já vai chorar  Miriam","0"
"Gente Maluma são várias pessoas né? Ele fica diferente a cada vez que aparece #thenoite","1"
"que coisa linda a mãe do serginho #AltasHoras","2"
"mirian faz o favor de sair que ninguém te aguenta mais  #MasterChefBR","0"
"#MasterChefBR 20 mil tweets com o nome Mirian, quando vc vai ver, 99% do Twitter não gosta dela, do que adianta cozinhar bem e ser escrota?","1"
"O vinho pode ser branco ou tinto , mais ocu tem que ser Rosê kkkkkkkkkkkkkkkkkkkkkkkk Ri demais kkkkkkkkk @user #THENOITE","2"
"O dia pós #MasterChefBR é sempre triste, com fome e nada decente pra comer, por isso bebemos 🍻","0"
"@user e @user JÁ SEI QUE DESSA VEZ DÁ #TimeAZUL !!! #MasterChefBR","1"
"@user @user Sophia Abrahão no #altashoras é ""Vida Inteligente na Madrugada"" 💖  #soseiamar","2"
"Avisem a Ana Maria q ela já está passando dos limites #MaisVoce","0"
"Olha aí a @user de novo!! #MasterChefBR","1"
"Que orgulho de ti, @user! #Encontro","2"
"A idéia do Douglas foi boa, porém pecou na execução. Não merece sair! #MasterChefBR","0"
"sorvete de cachaça. .. #MasterChefBR","1"
"Carlos Alberto melhor pessoa, sou fã do pgm, fã dele como pessoa, do conhecimento, da humildade #TheNoite","2"
"@user aaaaah eu tô ansiosa demais @user  #MaiaraeMaraisaNoBial #ConversaComBial","0"
"carai, não curto mto ele, mas o Catra falou uma verdade BRUTA agora viu #TheNoite","1"
"MUSA DA COPA!  #VideoShowAoVivo","2"
"#Encontro não creio que falaram isso","0"
"Galinhada desconstruída... Eh pakaba #MasterChefBR","1"
"Só falta a Mirian sair pra completar o melhor episódio rsrsrsrs  #MasterChefBR","2"
"#AltasHoras se essa plateia n se anima com É O Tchan é pq é td cotado","0"
"Agora vamos.  Quem dormir primeiro e mulher de padre.   #partiudormir #conversacombial","1"
"@user  #MaiaraeMaraisaNoBial #ConversaComBial, so faltou a Marialia Mendonça pro trem ficar melhor ainda rsrs lindas .","2"
"Hj dá gosto em assistir o #VideoShowAoVivo pq não tá o Otaviano mostrando os 97 dentes daquela boca e querendo se exibir a todo momento.","0"
"Eu pensava que o Rafael Infante era gay #TheNoite","1"
"comeria tudo que o vitor falou #MasterChefBR","2"
"Maluma o Justin Bieber Latino ? Maluma é homem não um moleque #TheNoite","0"
"Miriam fez um cuscuz que mais parece um mexidão. #MasterChefBR","1"
"Que voz. Amo a Sandy pra sempre!!!!#Encontro","2"
"a Lais Souza de convidada e o Tchan cantando ""parapapapa paralisou"" 😒 #AltasHoras","0"
"J: A Tailândia é muito longe daqui. Y: A Itália também. #vra #afrontosa @user 😂😂 #MasterChefBR","1"
"@user exaltando a habilidade do brasileiro de fazer memes. Hahaha #ConversaComBial","2"
"#Encontro Nando Reis está desconexo do tema: não é envelhecimento! É questão de gênero! Ainda bem que a Miriam trouxe ele pra realidade!","0"
"Um garoto de 13 se relacionar com uma mulher de 23 todo mundo aplaude, mas se fosse o contrário, já era considerado pedofilia. #Encontro","1"
"@user dá pra parar de ser linda 😱  Q look é esse 😍  #MasterChefBR","2"
"#MasterChefBR faltou costela de tambaqui","0"
"Eu só queria as comidinhas de ontem do #MasterChefBR","1"
"#TheNoite ta muito bom hoje","2"
"Simplesmente NOJO desse cara no #Encontro","0"
"Rafael Infante é do Exercito? Hsisnksnzksnsm #TheNoite","1"
"Morrendo d amores pela dona Ana 😍 #AltasHoras","2"
"se foci a abobora ja tinha começado #MaisVoce mas kd germana e licurgo?","0"
"#MasterChefBR será que termos ganhador de Minas Gerais","1"
"#VideoShowAoVivo essa carinha de anjo é inconfundível... Que amor 😍","2"
"@user Por favor, chama o @user  pro #TheNoite. E me poem na plateia tbm né?! Kkkk","0"
"eu achei que o Murilo fosse levantar e fazer algo, e o programa acabou kkkkk  #TheNoite","1"
"Hj tem Dr Drauzio Varela no #ConversaComBial 😀🤗","2"
"Troco o time vermelho todo com  super brindes chamados Miriam e Leo, e vocês devolvem o @user  #MasterChefBR","0"
"#Encontro de casais","1"
"Braulio é muito legal né? ❤️ #Encontro","2"
"A Sandy não vai cantar não? #Encontro","0"
"Quando o Fogaça chamou a Paola de chef só lembrei da fanfic Libido 🔥🔥🔥🔥 #MasterChefBR","1"
"E o meu amor pelo @user só cresce. Orgulho de todos nós. Mais que um clube. #Encontro #AdoteumPequenoTorcedor","2"
"Alguém tira a Miriam deste programa #MasterChefBR","0"
"#MasterChefBR Paola estava me representando durante a contagem","1"
"@user no #TheNoite pqp haishauahsuahsusjaudjs","2"
"O Leo tem potencial para levar o programa mas, o comportamento dele não é legal... #MasterChefBR","0"
"Hoje o programa vai ser na porrada, apanha menos quem cozinha mais !!!#MasterChefBR","1"
"Lindos como sempre amo tudo #VideoShowAoVivo","2"
"não acredito que o azul vai perder :( #MasterChefBR","0"
"#VideoShowAoVivo na hora da janta","1"
"EU TO SURTANDOOO  #MaisVoce","2"
"Nossa, arnaldo antunes é muito chato ne, socorro #encontro","0"
"#encontro. Para um otimista é ótimo chegar aos 100, mas pra um pessimista isso é a pior coisa que pode acontecer.","1"
"#ConversacomBial  Melhor conversa... E eu já quero o spray para quem fala d+, no caso para uso pessoal 😂","2"
"Acho que hoje vai ter muita @user nessa prova do #MasterChefBR...","0"
"#encontro  Com aquela pessoas especial, eita não tenho 😭😭","1"
"@user @user #ConversaComBial #RodrigoSantoro A vida é um aprendizado absoluto e respeitar a ti mesmo é amar a ti mesmo. Brilham!","2"
"Vitor B não pode sair não #MasterChefBR","0"
"#VídeoShowAoVivo Por favor passa a cena da Ivana de ontem","1"
